ΑΑΔΤΣ                   Αποτρόπαιος ΑρχιΔαίμονας Του Σατανά
AΒΚΤΠ                   Ανοϊκό Βοθροκούνελο του Περιστερίου
ΑΒτΚτΚ                  Αποκτηνωμένος Βασανιστής του Κολαστηρίου της Καλαμών
ΑΜΜΤΤΜΑ                 Αιώνιο Μίσος Μέχρι Την Τελευταία Μου Ανάσα
ATτK                    Αποφώλιο Τέρας της Καλαμών
ΑΦΦΚ                    Ανθρωπόμορφη Φρικιαστική Φασιστω-Κατσαρίδα
ΒΑΤΚΠ                   Βδελυρό Αποκτηνωμένο Τερατο-κάθαρμα Παλιανθρωπιάς
ΓΑΣ                     Γαμημένο Ανθρωπόμορφο Σκουπίδι
ΔΓΧΚΤΛ                  Δυσγονική ΧωριατοΚουνέλα Της Λάσπης
ΛΔΣΚΤΚ                  Λυσσασμένο Δαιμονόσκυλο της Κολάσεως
ΜΚΔΦΒΠ                  Μικροκέφαλος Κτηνώδης ΔολοΦονικός ΒοθροΠίθηκος
ΣΠΚΑΚΣ                  ΣκατοΠολτοΚέφαλη Αυτοκινούμενη ΚρεατοΣακούλα




